LEI ,Financial Institution,,Need Financial Institutions
549300M1N0YC51QQGT24,Ozarks Federal Savings and Loan Association,,
254900OC69XWBZ2A8244,"Auburn Savings Bank, FSB",,
5493007XXF5AWOEWTU94,Mutual Federal Bank,,
5493003MAUCY3WMZY776,Cincinnati Federal,,
254900BKU8W7ACVJRW27,Home Federal Savings and Loan Association of Niles,,
5493002N5168AC238149,"OceanFirst Bank, National Association",,
549300JPG4IUQOVV5C90,"Middlesex Federal Savings, F.A.",,
21380054U5NKZKBQ4128,Central Federal Savings and Loan Association,,
254900KX4PZDHAK8I871,First Federal Savings Bank of Champaign-Urbana,,
549300THVVYXNYVCMC50,Colonial Federal Savings Bank,,
549300EEBM1SLV22YZ19,Argentine Federal Savings,,
549300NWBESFDVWEN148,HAMILTON BANK,,
25490001TS9QRZRMM257,DELANCO FEDERAL SAVINGS BANK,,
549300FRWQGCSMF2P111,CLIFTON SAVINGS BANK,,
254900PST6LLDPCKSN83,North Shore Bank FSB,,
254900I5CDPSIU78UI40,Chesapeake Bank of Maryland,,
549300OVA1LT74LITG21,First Federal Savings and Loan Association of Greene Co,,
549300P5XMXPZNGV5915,Arundel Federal Savings Bank,,
5493005LKFCLR81TSN28,Columbia Bank,,
549300JH8TVR84H1BL45,First Piedmont Federal Savings and Loan Association of Gaffney,,
549300WIWUF4JZ6O0629,MidCountry Bank,,
549300BDZCCADL2HG292,Wallkill Valley Federal Savings and Loan Association,,
254900FWMAL9Q1TY2667,Security Federal Savings Bank,,
2549007E4NL6J0YLH946,Evergreen Federal Bank,,
5493003617RJR4JUYT66,First Federal Savings Bank,,
254900DNLSAVSRPDRK61,Carthage Federal Savings and Loan Association,,
549300C6CUP19I9O0770,"HANCOCK COUNTY SAVINGS BANK, FSB, INC.",,
549300GHAXBE9Q7W9273,Home Federal Savings Bank,,
549300W5A6PQ1VJG3497,First Federal Bank of Kansas City,,
25490014H5TMIL4E7G03,Lake City Federal Bank,,
549300U708IU68HOIF33,Bank 34,,
5493001MUHR5XU30WE58,First Federal Savings and Loan Association,,
549300OHXNUMVE33Q475,American Federal Bank,,
54930046UUU8KKVCYD66,First Federal Savings and Loan Association of Valdosta,,
5493002WXCO8XZD1EB38,New Carlisle Federal Savings Bank,,
254900VLNEK78XKF3M52,Fox Valley Savings Bank,,
549300HP3G6D4BYR6V26,County Savings Bank,,
549300DD7DEFHKQ3AD80,Woodruff Federal Savings and Loan Association,,
254900TZ5NHC3GYO2U31,Henderson Federal Savings Bank,,
549300B1HO0P8G3WYQ31,Eureka Homestead,,
254900OC13I9CJC7SD87,Prevail Bank,,
254900A5AI5ALG6CV212,WinFirst Bank,,
2549001WH56IR3WR8F53,First Federal Savings and Loan Association of Delta,,
254900S293MIVH34PR45,North Side Federal Savings and Loan Association of Chicago,,
254900IL7D0ACZ6YVF12,Home Federal Savings & Loan Association of Grand Island,,
549300DPWFIO1S3DF358,First Federal Savings and Loan Association of Lakewood,,
5493002R2CJ2LF78PR19,Seneca Savings,,
2549002AEOG52GLE5B68,Newton Federal Bank,,
254900STXIE710EZPY52,Fidelity Federal Savings and Loan Association Of Delaware,,
549300RV3BMT6ES6TO70,"United Fidelity Bank, fsb",,
549300EI8WIPSALARU71,Heritage Bank of St Tammany,,
549300YHPEPV6KF30T16,Rosedale Federal Savings and Loan Association,,
254900P1I9VHKMF8R991,First Federal,,
549300MKO88C3VZKD418,Windosr Federal Savings & Loan Association,,
2549002U96ZPEAFKGZ11,First Federal Savings and Loan Association of Bath,,
549300O0TJMGQOMR2Q09,Florida Parishes Bank ,,
549300GJHCU3PV11PY25,CFSBANK,,
54930084WKZ9NTQ0QS94,Iroquois Federal Savings and Loan Association,,
549300T4MDLB9460W848,Anthem Bank & Trust,,
5493001M37Q8TJKTP708,Home Federal Bank of Tennessee,,
549300U82B82JH54TO79,Lincoln FSB of Nebraska,,
5493005EWJNDWPLNG328,Century Next Bank,,
549300M2TE26IJQD4W66,First Federal Community Bank of Bucyrus,,
549300K6K2IS7FRS7S09,"North American Savings Bank, F.S.B.",,
549300QHFDNFAMLATM94,First Seacoast Bank,,
549300LYVRGGGBBPPV22,Southern Hills Community Bank,,
549300686RMBOL8Y1T93,Milford Federal Bank,,
5493006GPVUJZWTAR765,First Federal Savings and Loan Association of Lorain,,
549300LNUJ0IPK43UX33,First Federal Bank of the Midwest,,
54930089XPEJZALBU127,Eaton Community Bank,,
254900WTWK93MSDEBV13,Dearborn Federal Savings Bank,,
549300YUQ9GI8RVNPJ61,Town Square Bank,,
549300MNGYKM8QPYJL44,Home Bank SB,,
549300IUMIMR7KEN9Z07,Elizabethton Federal Savings Bank,,
5493000UF8SCP783XB88,SCOTTSBURG BUILDING AND LOAN ASSOCIATION,,
549300JPVHG8M0ADBX36,Riverview Community Bank,,
549300A0WF7QPCOSXF45,Dearborn Savings Bank,,
5493006VVC2EW2KLYK29,Union Savings And Loan Association,,
5493007XJ6VTSFSTU024,"Family Federal Savings, F.A.",,
5493009ROW8QSODANH20,Mutual Savings Association,,
2549001URDOO8V3DI280,First Federal Savings and Loan Association of Greensburg,,
549300MR7438Q5IB2F95,Gibraltar Bank,,
549300E05TZE9VHI0I91,"Mid-Southern Savings Bank, FSB",,
549300K59ORGG9RDD082,"Citizens Savings and Loan Association, FSB",,
254900PVPKN915ZIGZ02,"Hatboro Federal Savings, FA",,
549300NGNH7M36LP4583,Maspeth Federal Savings and Loan Association,,
5493000FL80UZ5NK7M09,"Broadway Federal Bank, f.s.b.",,
549300EGTMFOWQOCQM74,First Federal Savings Bank of Lincolnton,,
549300RV4T4YZCSHWF37,First Savings and Loan Association,,
549300XZF8VZFNRNBW38,Geddes Federal Savings and Loan Association,,
549300RSMQCGTTJ1WG37,First Federal Bank of Wisconsin,,
549300O1FOCD65WZ9873,First Federal Bank of Louisiana,,
254900GOOLUL9LJMF172,Freehold Savings Bank,,
549300FEBB5EMDXTC518,Lake Shore Savings Bank,,
549300I1IE35O2I0WT71,Westmoreland Federal Savings,,
549300HJP2WLL8KDCA15,First Shore Federal Savings and Loan Association,,
549300J42PFPFWJKG874,CHARTERBANK,,
549300UI7UEQIFGW1I66,Universal Bank,,
5493004X52BH1NBLW813,"META FINANCIAL GROUP, INC.",,
54930017IQ4KPG7QW263,First Federal Savings and Loan Association,,
549300VRYDYOPWK5MO08,"Provident Savings Bank, F.S.B.",,
549300L9MOPDT0NKE883,"Fidelity Bank, National Association",,
549300KLBHBLTPBU7507,"El Dorado Savings Bank, F.S.B.",,
254900FTCNECUOWATD22,First FSB of Mascoutah,,
254900KSUTZO899YU680,HomeTown Bank,,
5493004W7AEPOP0B0249,First Federal Bank,,
549300JEBZPKAD7H6427,Jarrettsville Federal Savings and Loan Association,,
549300K0FXK3ZRZ9QA66,"Pickens Savings and Loan Association, FA",,
549300ROGHTFGYNKE773,"First Federal Bank, A FSB",,
549300CDGL2OULMP7388,Citizens Savings Bank,,
549300K0ZDYG8YJZ3L95,Ponce Bank,,
549300LGEXCX325O8C49,First Harrison Bank,,
549300501D0D3H14QX87,New Buffalo Savings Bank,,
Q708HHR4LD2B7XIZNO92,First Federal Bank,,
549300EMNQ2QLOEPQ289,"Colonial Savings, F.A.",,
254900XM56YJW3X8VP97,First Federal Savings and Loan Association of San Rafael,,
549300K5SWOZ1F2OHY48,Equitable Bank,,
549300XUKQ6W1CY6QK47,First Federal Savings Bank,,
2549003A9J70FMO48Y25,Security Federal Savings Bank,,
549300JPRUH645Z90X88,"Interamerican Bank, A FSB",,
549300DM6DAOPSF8HL78,"Grand Bank for Savings, FSB",,
549300GCEP3NM7A1X491,TrustCo Bank,,
549300N1R0R39PYT7O68,First Western Federal Savings Bank,,
254900QC9XDDY8OVYU54,Slovenian Savings & Loan Association of Franklin-Conemaugh,,
54930040WE4NGYGGO143,Rollstone Bank & Trust,,
5493005DKMV1IHIM8E20,"Wilmington Savings Fund Society, FSB",,
549300ZEHLZ064G58146,"Sterling Bank and Trust, FSB",,
549300MU2YI0HXIT3257,"Liberty Savings Bank, F.S.B.",,
549300MSU5WVAU4ZN645,"Dollar Bank, Federal Savings Bank",,
549300YOGGZET04TZM44,Abacus Federal Savings Bank,,
5493004E9NBRMLFI7T42,Preferred Bank,,
549300PTYDNRSYG5A828,Malaga Bank F.S.B,,
AH55RWHBL7W3I2HNEB67,Mutual of Omaha Bank,,
549300335QFYU4536D37,Madison Bank Of Maryland,,
5493007O5KJGDP4CB858,"Eastern Savings Bank, FSB",,
54930078TNN7GKZ7NU89,"Presidential Bank, FSB",,
549300BSREUOP0WE2207,"SEVERN SAVINGS BANK, FSB DBA SEVERN BANK",,
549300DOQN3O7NL3CA31,"HOMELAND BANCSHARES, INC.",,
549300BES7HNVKCDIM50,"American Savings Bank, FSB",,
549300LWL6LDRPYWVK06,BayVanguard Bank,,
254900PHRI1MCM69UM20,First Savings Bank,,
VUAW1MW1BHNL595RH698,The First National Bank of River Falls,,
549300D3IKJ7KU3SH574,Priority Bank,,
549300R6P9WVVQOQF705,The First National Bank and Trust Company of Broken Arrow,,
549300S0KDM58LZT5C96,Frontier Bank,,
254900FI363837PZX856,Midwest Heritage Bank FSB,,
549300LLQD0X2OTG0Y27,"Home Loan Investment Bank, F.S.B.",,
5493007ER6T8J454KL85,"AMERICAN SAVINGS BANK, FSB",,
254900XASC5S67PMPM58,"Citizens Bank & Trust, Inc.",,
2549005RQQ9A5CNFVG05,Commercial Banking Company,,
549300EA0U825E61X330,BankSouth,,
549300TJGBPVMBWV5P74,Admirals Bank,,
549300KST6N97GYH0O45,"Affiliated Bank, National Association",,
5493000FLJMMXYXYKI25,New Republic Savings Bank,,
2549001H2SU2SQGKJ938,Cornerstone Bank,,
2549009X2AG1P20YAJ63,Axos Bank,,
HDU55UX4CXD9YSL1U194,"Westfield Bank, FSB",,
54930068Z8KYBS473E83,BANK MUTUAL,,
549300XVCHXNN8R67U29,COMMUNITY FEDERAL SAVINGS BANK,,
5493004QWS0OT86WNI22,Victory Community Bank,,
5493002XHCZ94X8YST31,Westbury Bank,,
5493003JEKV2BPJGMV40,Heritage First Bank,,
549300DL291F1S6SE802,MWABANK,,
549300A81K8K8KJR9759,"PyraMax Bank, FSB",,
549300SG27D8H0896J72,The Oculina Bank,,
549300HR275MEUDIFB90,American Investors Bank and Mortgage,,
549300KV83NH6PNL5E48,Westfield Bank,,
2549004XJQQPBYQSMT39,Quontic Bank,,
5493002OMAT2S3H4OF48,Ottawa Savings Bank,,
254900YV0O58MHFPZV28,Generations Bank,,
549300G0QSZVT1E3RS89,The Bank of Greene County,,
254900B9B6TYYGLOXT47,Think Mutual Bank,,
549300W2DSERWC01YR18,Walden Savings Bank,,
549300BN4MNW5KE16X83,Northfield Bank,,
5493002MNKV62JMMPU16,Homestead Savings Bank,,
254900Q85FX1DW2DU174,"BAY BANK, FSB",,
549300XFNTNQLLW0HY87,The Citizens National Bank of Meridian,,
549300PUQVJBMGHE3G79,"WASHITA MORTGAGE, INC.",,
549300BFTWW1HFL7JF90,"Cendera Bank, National Association",,
549300D1HSIL40QWFS52,CNB COMMUNITY DEVELOPMENT CORPORATION,,
254900FN90BBXGBCPB30,The First National Bank of Hartford,,
549300ERHDU3FCE3FA33,Glens Falls National Bank and Trust Company,,
549300L66TXE6HC20R70,The Ozona National Bank,,
54930082VCNY40XPOB62,The First National Bank of Jeanerette,,
549300C720KB2QRAC051,The Jacksboro National Bank,,
254900BH50BFK66NHC96,First Burke Banking Company,,
549300DK8GVTLGSA4H75,The First National Bank of Oneida,,
549300OA8B0OLDA16R42,The Farmers and Merchants National Bank of Nashville,,
5493007W3FAWZ3EYNP10,AB COMMUNITY INVESTMENT COMPANY,,
2549005QV7K44ND43364,Fayette County National Bank,,
5493005RDTT7HVODH436,"Community Bank, National Association",,
549300LL55GPEKSXNY85,The Falls City National Bank,,
549300NF8PVJ9A8UG225,MILFORD NATIONAL BANK AND TRUST COMPANY THE,,
549300RTMAIJNRX52596,FORTE BANK,,
254900Q9V3DYHBRTUH61,1st National Bank,,
549300Q6UYO4VXM0VF43,First Bank Elk River,,
5493007CLWQN2S6IZK91,"Armed Forces Bank, National Association",,
2549002H3CEW0748X068,The First National Bank of Brooksville,,
5493009ZFRBMAYWB2F82,The Moody National Bank,,
549300LX1HMON836J004,The First National Bank Of Milaca,,
549300CEHN5CVC6INV48,The Park National Bank,,
549300L79UZB0KDTXC31,"NATIONAL UNION BANK OF KINDERHOOK, THE",,
5493007WCJ9R6VLLYR82,First National Bank,,
549300HGXROE7ZUGMP55,American National Bank and Trust Company,,
549300U8L31JJT1ZDP60,"Peoples National Bank , N.A.",,
254900ICEZWRRYBRW481,Kingston National Bank,,
549300LTSES0DE01Z405,Dieterich Bank,,
549300UWA74T8PF7KY34,BNB Bank,,
549300LXUXE7P1Q87D65,The First National Bank of Peterstown,,
549300BK51FTOVBDMC15,The Bradford National Bank of Greenville,,
549300FHRL270LZY2I23,Somerville Bank,,
549300ND32GY8MLMJA78,First National Bank,,
254900GBKSHEUZ4PGG08,Powell Valley National Bank,,
549300HLPEQ31HY26E57,Hometown Bank,,
549300BNF48S5Z88UL34,Reading Co-Operative Bank,,
549300C4ZH7G6OB81F33,Citizens Bank of Kansas,,
549300EZG6KIP4HOUR65,Adirondack Bank,,
549300KJAE0JN2Z6YV76,Great Southern Bank,,
549300ZL6THC5R7VUP98,First Fidelity Bank,,
549300L0EV5UM3IRHJ33,"Town & Country Banc Mortgage Services, Inc.",,
549300CRSE0TY73U6X46,"BARTLETT MORTGAGE, INC.",,
549300URUSGWHXJ4OZ19,Coastal Heritage Bank,,
549300HNN7AH642EV192,ABINGTON BANK,,
549300T2PYPUFN0IWJ63,InterBank,,
549300JZOEFUDT8C2R43,MUTUAL BANK,,
ZXZDWBXF4U47HEP2EO46,Silvergate Bank,,
549300SNADAUHBKPD976,SALIN BANK AND TRUST COMPANY,,
549300RPCSICP6848N30,Bank of Star City,,
549300TWX5Q3V5VXNF89,North Shore Bank of Commerce,,
549300GKNMX0ZXKVPE54,Farmers Bank & Trust Company,,
549300DM47883NLNBK72,Liberty Bank Minnesota,,
254900R24PHQB7GDFD26,Mabrey Bank,,
549300TJF420N3F01V87,Equity Bank,,
549300TWHZRVTZ8RYT46,First Farmers Bank and Trust Company,,
J26ETGOCF82NJ2H0D828,LAFAYETTE AMBASSADOR BANK,,
549300PQ7WSN8JPB7M42,The First Bank of Baldwin,,
549300C3C8C6TSYT1R20,Whitaker Bank,,
5493007ZMQ2ZFZA66L83,WestStar Bank,,
549300RMBMOU2J1VK478,Woodlands Bank,,
254900VKT2R0R20CR104,First Farmers and Merchants Bank,,
549300F263I3XPN55P35,The Richwood Banking Company,,
549300UBGRF9FQB7X471,Bank of Commerce,,
254900YAD0R5TBY92Y41,Northwestern Bank,,
254900N67KAPUJSOLE12,Oregon Pacific Banking Co.,,
549300Y9VUF5EK6HHR23,Charter Bank,,
549300GQIEUOHONU7I52,Mansfield Co-operative Bank,,
5493005G7RUITYI5B094,Logan Bank & Trust Company,,
54930083CVF047DLXL67,Stoughton Co-Operative Bank,,
MV4O55SH8HO6KQSGW013,First Financial Bank,,
5493008S1XZ46M3GR587,The Elberfeld State Bank,,
549300DT7WZ1SOTNFJ62,First Bank,,
549300OWEWQ1QPPQS302,The Citizens Bank of Edmond,,
2549009JMGPU64G0O296,Bank of Millbrook,,
5493005ONLDV0W4QDI82,Orange Bank &Trust Company,,
254900WZKT8301DIWH64,Lakestone Bank & Trust,,
254900BX43CTU32Z6G15,Lindell Bank & Trust Company,,
549300D2R9YSQ442G068,OAK VALLEY COMMUNITY BANK,,
549300E5GFWPFRJR4I76,First Northern Bank and Trust Company,,
549300NDNZ6EWP8BJI88,Bank Iowa,,
5493003OO8EG0RKSFX83,Bank 7,,
549300M3EF1JHLTH5P71,The Farmers Bank of Appomattox,,
254900VHR12KN8C3F913,The Commercial and Savings Bank of Millersburg Ohio,,
54930013PJ1T7NUE0B15,ROSE HILL BANK,,
549300EY247F6R5IHX75,Citizens' Bank & Trust Co.,,
54930021FWO6J6IYPZ85,Martha's Vineyard Savings Bank,,
549300S5LHMBX3WRT314,Wheaton Bank & Trust,,
549300MZCM3IR0ZWDI94,First Utah Bank,,
9LIMABRJ9VPV74PBJB17,Hinsdale Bank & Trust Company,,
549300COIWXM618UBE82,HomeTrust Bank,,
254900SJONZGRA3CJM44,The Apple Creek Banking Company,,
549300DWS85AHLUZHB50,Quad City Bank and Trust Company,,
254900YJPIZ3RCMEM452,Chesapeake Bank,,
254900L67A0ZTJRS6614,First Bank,,
5493008YOT5ACN2UNP66,"FIRST WESTERN MORTGAGE, INC.",,
549300ZTZPT51D3DK456,"First Westroads Bank, Inc.",,
549300951LUSESNSUY70,Putnam Bank,,
549300V6LKROCIL7OI49,"FIRST BANCORP, INC.",,
549300JT42BMO3B8DD11,Belt Valley Bank,,
549300RAQJBTN6Z28096,"Wintrust Bank, N.A.",,
5493001EXVWX6Q13MY44,Bank of Bartlett,,
5493007LG15SP6QAWL48,The Union State Bank,,
549300P7J9S1WSW4VU68,Village Bank and Trust,,
254900R028OZZTTP5D53,Community Bank,,
254900O1WT2BXINL9612,State Bank,,
549300AC46WDQ7G4M335,First American State Bank,,
01ERPZV3DOLNXY2MLB90,Libertyville Bank & Trust Company,,
5493007TJ86W1ZK4LZ15,First Community Bank,,
6UHRKD73G36IZYN3FC43,Customers Bank,,
254900B62P3ICL40GF98,PACIFIC GLOBAL BANK,,
549300FZJCP0WM3QJH15,Peapack-Gladstone Bank,,
549300VBLC1LTYHXGB54,First Bank of Manhattan,,
562V2SM4I80MJO5HYB83,Bank Rhode Island,,
549300CS1XP28EERR469,Oregon Community Bank,,
549300U72NFUEEEZB183,High Plains Bank,,
54930065PWY9N8KCRQ96,Baraboo State Bank,,
5493001YBS0V28ZNVE97,American Nation Bank,,
5493001GCBD5XGNIC815,Coastal Community Bank,,
549300UQPFB0RR8JCA42,Dacotah Bank,,
549300G4VO4E5SNMQB32,FMS Bank,,
5493007JWVDRJB3BSH97,The Bank of Jackson,,
5493000V0CXKSOK29E51,American Bank,,
549300VR7DBNPPSMHV60,American State Bank,,
549300H8LM6VPYEHWU46,State Bank Financial,,
549300IDUXOP6HUDV878,North American Banking Company,,
WVM1F03F86RQLLTEVE84,EagleBank,,
5493005LKELKKRLTQA25,Portage Community Bank,,
54930020VWE4K0ME5605,The Monticello Banking Company,,
549300V0XUOYKG376I21,"JOHNSON MORTGAGE COMPANY, L.L.C.",,
254900RZHOIGZ93T3S32,Premier Bank,,
254900040LMONERSH242,VisionBank of Iowa,,
54930037K28BC4GVBU20,"Town Bank, N.A.",,
549300NPHJJV4PURQK31,PREMIER BANK OF ARKANSAS,,
549300YKBMBBIIMQJS94,Southern Bank,,
549300GIR2ODBIF9VF65,"New Peoples Bank, Inc.",,
2549005IKBNCYJFKP605,TEXAS STAR BANK,,
549300TELLWSMYL9RE90,TruPoint Bank,,
54930036FSKC5R0ZBJ88,Commonwealth Co-operative Bank,,
549300DUME7DFYI27012,"ONLINE CENTRAL, INC",,
254900I3LJYL57NZ5H21,The Andover Bank,,
254900A1GT4B0CJ1GH46,American State Bank,,
2549000S4R1QRQ0UX708,First State Bank of Colorado,,
549300DMI3W6YLDVSK93,First Home Bank,,
254900YY36UO9MBPH808,Diamond Bank,,
549300MJ0Y817D63DD96,Asian Bank,,
549300DF7LT6VI5BQC34,Old Missouri Bank,,
549300XV8D5BHDJZY155,Bank of the James,,
549300241ZT0ZF7SSS28,"UNION MORTGAGE GROUP, INC.",,
54930022I573MYIIOM33,Southern Bank of Tennessee,,
549300KLYYCDTN093E29,Central Bank of Oklahoma,,
54930065I8TMZBUKMS98,Buckeye Community Bank,,
2549008POZ7T1PJYBU80,Colorado Bank and Trust Company of La Junta,,
254900IHGFQJY2WUC891,First Option Bank,,
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",,
549300S8CJG5MSY8BH57,BANK OF LITTLE ROCK MORTGAGE CORPORATION,,
549300CFJHGA40RI7O81,Central Bank of The Ozarks,,
549300EDXX36BJ0X7583,North State Bank,,
CLHA5EVJO4FMZ2WOBV70,Northbrook Bank and Trust Company,,
5493009I5VHHGVFQ1O54,PEOPLES BANK,,
549300F2X31IJ1AVQ527,Landmark Community Bank,,
549300OUV501REVTQ527,Central Bank of Boone County,,
5493005H0NK3SWWY4384,The Freedom Bank of Virginia,,
549300MIWF0T5VLO6M11,FARMERS BANK,,
549300FAQB5JZE5SG649,FlatIrons Bank,,
254900QXGTL5RYZXK761,Cornerstone Bank,,
PS6WLKTYGZOKK05G5O59,Cedar Rapids Bank and Trust Company,,
549300BNT2ED14J2RB94,Frederick County Bank,,
549300FS4TWJ50ESLB05,The Missouri Bank,,
5493007LU04D28P9RD79,American Heritage Bank,,
549300KM0M1BH7LBWW77,Patriot Bank,,
549300H3YPB6EJ1RV917,First Bank of Berne,,
5493005J49KPXDXUC959,Central Bank,,
549300U65SW4VWXX3N34,FBT Bank & Mortgage,,
549300Q2EZNO3H86ED06,Veritex Community Bank,,
549300U7ERLWHOGWFM48,ChoiceOne Bank,,
549300XM1P1O0WI4KO86,Bank of Crockett,,
254900SOAE0WU8JM0177,MainStreet Bank,,
549300V6HTJCSW4YN309,Greenfield Co-operative Bank,,
549300G86QJ4YLR90O89,Empire State Bank,,
549300QQT0E10LWS3326,Ciera Bank,,
549300LH0RW78R3R3Z48,Rockford Bank and Trust Company,,
549300COV0JSM0J8GP39,New Tripoli Bank,,
549300GCUYVW860UOZ07,SONABANK,,
549300W40F67Y6WWQX34,First Vision Bank of Tennessee,,
5493002H4C2PXJ5ZNP48,Main Street Bank,,
549300TMF7YJBKDNMP72,HomeTown Bank,,
549300ZX4OGRPOOEH505,Oakstar Bank,,
549300CNDBHD7VKHK806,NobleBank & Trust,,
549300TTP68WVF1GME12,Triumph Bank,,
5493000NZZZU3GFIYL71,Needham Bank,,
549300R5DOGZK0VWYL76,Jonah Bank of Wyoming,,
549300AOG9F040P5KW70,Reliant Bank,,
549300A0NYWCTG5X8Y25,John Marshall Bank,,
54930060KLIQD8MMSB55,Orrstown Bank,,
549300GGCODNBIXJ4705,Patriot Community Bank,,
549300BX1RWC01B58P91,Virginia Commonwealth Bank,,
549300IKNQI45EOJU155,"Capital City Home Loans, LLC",,
54930013SG5BXUL3G429,First Western Bank,,
2549004G86NS7ZIP2L97,Bank of Bennington,,
54930061QWO8EIDM1U61,FIRST FLORIDA BANK,,
549300H0IFPIJWI3KL08,Central State Bank,,
549300GZY55UGMUMI322,SmartBank,,
549300LBK5BTNFKZJD14,Univest Bank and Trust Co.,,
549300X8XJW35HJ7M023,Select Bank,,
549300EVJT6K5WFCK440,FIRST FLORIDA INTEGRITY BANK,,
549300TX687EP8MPL372,LONE STAR STATE BANK OF WEST TEXAS,,
549300MSW6NY44KG3397,FVCbank,,
549300FJRQZHE1Y3GS80,MONUMENT BANK,,
254900LGHYS85LQCAW88,Frontier Community Bank,,
5493004F1BOBD3SG7P54,The Croghan Colonial Bank,,
549300Y1K11HHIO8K335,Franklin Synergy Bank,,
549300MKOZ81ZWTNKB12,United Bank,,
2549005139GOI7VL3521,Prime Bank,,
2549006970DDWK8E1864,Fieldpoint Private Bank and Trust,,
5493006J2ROMTD5Q0731,APOLLO TRUST COMPANY,,
2549004R5IWT90NBTB98,Virginia Partners Bank,,
254900N10G1D8QK8M334,"THE KAW VALLEY STATE BANK AND TRUST COMPANY, OF WAMEGO, KANSAS",,
549300AWKJE2GH6K8C97,FIRST COMMUNITY BANK AND TRUST,,
2549008DKNX6KPDOUX53,Wellington State Bank,,
549300Z77WUYJM3QG591,First PREMIER Bank,,
254900PWTPCOI9QU5G90,Canton Co-operative Bank,,
254900GKRYTQSJG61D90,Texas Regional Bank,,
549300DWMTWWKQYENV29,"FINWORTH MORTGAGE LLC, AN INSBANK COMPANY",,
549300L7610D7H3Z5585,Grand River Bank,,
254900MPKKQDGRJC2S10,PROFESSIONAL BANK,,
254900HSFJFPYVPQN082,START COMMUNITY BANK,,
549300T7TUTAOW4OUS39,Central Bank of Warrensburg,,
54930027DI91BISPCH61,Coastal Bank & Trust,,
549300LEOR2LO8J9RT29,"VICTORY MORTGAGE, L.L.C.",,
DX0JX77PRMOELF7VG772,Synovus Bank,,
549300RDN1T32WR2WF91,Legacy Bank & Trust Company,,
549300XRWSRSRH3E3804,Farmers and Merchants Bank of Ashland,,
549300LM58V37XNHOB58,Copiah Bank,,
549300MNVXT92RBYBF93,Cornerstone Bank,,
549300EES32R2VOEK894,Bankers' Bank,,
